Formulation name,Procedure
Metronidazole Suspension,"1. Disperse item 1 in item 10 in a stainless steel vessel, using stirrer. Make smooth slurry and keep aside for use later. 2. Add 186.0 g of item 13 to a vessel and heat to 90° to 95°C. Dissolve items 2 and 3 while mixing. 3. Add and dissolve item 4 while mixing at a temperature of 90° to 95°C. 4. Cool down to 50° to 55°C. 5. In a stainless steel container dissolve item 5 in 4.0 g of item 13 and add to the vessel while mixing. 6. Filter the syrup. Collect the syrup in stainless steel tank. 7. Disperse item 8 in 120.0 g of hot item 13 (70° to 75°C) in stainless steel vessel, using stirrer. Keep on stirring for 30 minutes. Transfer the dispersion into mixer by vacuum. 8. Mix and homogenize at temperature 70° to 80°C, mixer speed 18 rpm, homogenizer at high speed and vacuum 0.4 to 0.6 bar for 10 minutes. 9. Cool down to 25° to 30°C. 10. Disperse item 9 in 120.0 g of item 13 in stainless steel vessel, using stirrer. Keep on stirring for 30 minutes to make smooth dispersion. 11. Transfer the filtered syrup from step 2.4 and transfer Avicel mucilage from step 4 to mixer. Set the mixer to 25° to 30°C, 18 rpm; high speed and vacuum 0.4 to 0.6 bar. 12. Mix and homogenize for 10 minutes. 13. Dissolve items 6 and 7 in 12.0 g of item 13 and add to mixer while mixing. 14. Add metronidazole benzoate and propylene glycol dispersion (step 1) to mixer. 15. Rinse the drug container with 10.0 g of item 13 and add the rinsing to mixer to avoid loss. 16. Add items 11 and 12 to mixer. Make up the volume to 1.0 L with item 13. 17. Mix and homogenize for 20 minutes at high speed, vacuum 0.4 to 0.6 bar. Check the suspension for homogeneity. Transfer the suspension through 630-micron sieve to stainless steel storage tank, previously sanitized by 70% ethanol. 18. Do not store the bulk suspension more than 48 hours in the storage tank without stirring. Before filling, stir not less than 30 minutes for uniform dispersion to avoid problem of content uniformity."
Mint–Menthol Mouthwash,"1. Mix components 1 to 6 and heat to about 60°C. 2. Prepare solution of items 7 to 18, heat to about 60°C. 3. Add this solution slowly to the well-stirred mixture of items 1 to 6. The result is a clear, colored liquid having a fresh mint taste."
Monosulfiram Solution,"1. Liquefy item 1 by warming to 40°C. 2. Charge item 3 in a suitable dry, stainless steel mixing vessel. 3. Add item 2 to step 2 and then add item 1 with constant stirring until clear solution obtained. 4. Filter through a suitable clarifying filter."
Multivitamin and Calcium Syrup,"1. Heat items 1 to 5 and item 6 separately to about 60°C and mix slowly with stirring to obtain a clear solution. 2. Dissolve items 7 to 9 in the hot solution of items 10 to 12 to obtain a clear solution. 3. Mix all the solutions on cooling, and add solutions of items 13 to 19. 4. Adjust the pH value to from 4.0 to 4.1. 5. Pass nitrogen through the solution for 10 minutes and fill in flasks under nitrogen."
Multivitamin Syrup,"1. Heat mixture of items 1 to 4 to about 65°C, and stir well. 2. Add very slowly item 6 to the warm solution (65°C). 3. Mix with solution of items 7 to 11 and add item 12 to make up the volume. Parabens are generally a 1:10 ratio of methyl and propyl paraben."
Multivitamin Syrup (2),1. Heat items 1 to 5 and item 2 separately to about 60°C and mix slowly with stirring to obtain a clear solution. 2. Dissolve items 7 to 9 in the hot solution of items 10 and 11 to obtain a clear solution. 3. Mix the cool solutions and then add items 12 to 18 and adjust the pH value to 4.0 to 4.2. 4. Pass nitrogen for 10 min through the solution and fill under nitrogen cover. Provides 1 to 2 RDA/20 mL.
Multivitamin with Fluoride Infant Drops,"Use only stainless steel tanks; minimize vortex formation to prevent aeration. Product attacks glass; avoid contact with glass. 1. Charge 350 mL of purified water into the stainless steel-jacketed main tank. 2. Start mixing. Add, in order, niacinamide, riboflavin, sodium fluoride, methylparaben, and benzoic acid. 3. Rinse the interior walls of tank with approximately 16 mL purified water. 4. Continue mixing for the balance of the process. 5. Heat the main tank to 95°C to dissolve ingredients. When the solution is complete, cool below 85°C (range 80° to 90°C). 6. Add vitamin E to another tank, if necessary, by heating vitamin E container. Melt vitamin E in the tank. 7. Add viosterol and vitamin A and heat to 60° to 65°C with mixing. 8. Start bubbling in CO2. Mix slowly for 10 minutes or longer to produce a clear solution. Start CO2 gas protection on the main mixing tank and continue for the balance of the process. 9. With the main batch at 85° to 90°C, add the solution of vitamins E, D, and A at 60° to 65°C, with mixing. The addition may cause the temperature of the main batch to drop below the specified range; readjust to 85° to 90°C. 10. Mix and maintain at this temperature until solution is complete, after which cool to below 30°C. Add the glycerin with mixing. Adjust the temperature to the 25° to 5°C range and maintain at this temperature before proceeding. 11. Add and dissolve with mixing in the following order: ascorbic acid, thiamine, pyridoxine, and caramel. Rinse the caramel container with approximately 3 mL of water, and add the rinsings. 12. Rinse the tank inner walls and mixer shaft with approximately 3 mL water. 13. Dissolve the orange oil with mixing in the alcohol and add to solution. 14. Continue mixing for at least 30 minutes to ensure a homogenous product. 15. Stop mixing, take pH (range 3.1 to 3.3). If necessary, adjust with 10% sodium hydroxide or 10% hydrochloric acid (prepared by adding 1 mL hydrochloric acid, reagent grade, with 3.3 mL purified water). Mix."
Nimesulide Suspension,"1. In a suitable stainless steel container heat item 16 to 70°C. 2. Add and dissolve sodium benzoate, disodium edentate, and sodium citrate. 3. Filter though a filter press. 4. Add sugar till completely dissolved. 5. Filter again through a filter press. 6. In a separate container charge propylene glycol and sorbitol solution. Add carboxymethyl cellulose and aerosol homogenizes and store for a few hours. 7. Add and mix in step 5 hydroxypropyl methyl cellulose and simethicone emulsion. 8. Add item 1 and make a slurry in step 6. 9. Add step 7 into step 4 and make up the volume with item 16."
Norephedrine Syrup,"1. Dissolve the parabens in the hot water (90° to 95°C). 2. Add the sorbitol, cool to room temperature, and dissolve the other components. 3. To prevent of discoloration of Kollidon in the solution during storage, 0.1 to 0.5% of cysteine could be added as antioxidant. 4. Flavors should be added to adjust the required taste."
Nystatin Oral Suspension,"1. Add 200.0 g of item 16 (90° to 95°C) into mixer and heat to 90°C to 95°C. Dissolve items 3 and 4 while mixing. Add and dissolve item 2 while mixing at a speed of 18 rpm. 2. Cool down to about 50° to 55°C. 3. Filter the syrup. Collect the syrup in clean stainless steel tank. Avoid any loss of syrup. Clean the mixer. 4. Transfer the sugar syrup from stainless steel tank into the mixer. 5. Add 100.0 g of item 5 into mixer while mixing. 6. Disperse item 6 in the mixture of 50.0 g of item 16 (25° to 30°C) and 50.0 g of item 5 in a stainless steel drum while mixing with stirrer. 7. Disperse item 8 in item 7 in a stainless steel drum while mixing with stirrer. Add 30.0 g of item 16 (90°C) to the solution. Stir until it becomes clear. Cool to 30°C. 8. Transfer the dispersion from step 3 and 4 into mixer. Mix and homogenize under vacuum 0.4 to 0.6 bar for 10 minutes. Stop homogenizer and keep continuous mixing. 9. Dissolve item 9 in 50.0 g of item 16 (50°C) in a stainless steel container while mixing by stirrer. Add item 10 into it. Disperse item 1 while stirring by stirrer. Cool to 30°C. Add the drug dispersion into mixer while mixing. 10. Dissolve item 11 in 15.0 g of item 16 (25° to 30°C) in a stainless steel container while stirring by stirrer. Add to mixer while mixing. 11. Add items 13 and 12 into mixer while mixing. 12. Homogenize high speed, and vacuum 0.4 to 0.6 bar. Mix and homogenize for 10 minutes. 13. Dissolve item 14 in 7.0 g of item 16 in a stainless steel container. Add slowly into the mixer while mixing. 14. Dissolve item 15 carefully in 7.0 g of item 16 in a stainless steel container. Slowly add the required quantity into mixer to adjust the pH between 6.8 and 7.1. 15. Make up the volume with item 16, up to 1 L. Mix for 5 minutes."
Nystatin Suspension,"1. Charge items 1, 2, and 4 in a suitable stainless steel vessel and suspend in item 6; mix well. 2. Add item 3 slowly while stirring and in small portions and then follow up with vigorous stirring to obtain smooth suspension. Homogenize if necessary. 3. Fill."
Ofloxacin Otic Solution,"1. Add propylene glycol, pluraflo, glycerine, and ethanol to a clean vessel. 2. While stirring, add ofloxacin. Stir until a clear solution is obtained. 3. Add perfume and mix until uniform."
Omeprazole Solution,"1. Add propylene glycol and poloxamer to a clean vessel (main mix). 2. While stirring, heat the mixture as appropriate to sufficiently melt the poloxamer. 3. Once a uniform solution is obtained, remove from heat source and continue mixing. 4. In a separate vessel (alcohol premix) add alcohol, omeprazole base, and monoammonium glycerizzinate and mix until uniform. In another vessel (water premix), add water, EDTA, sodium saccharin, acesulfame, and sodium metabisulfite. 5. Mix until all materials are dissolved. 6. Add the alcohol containing premix to the main mixing vessel containing the poloxamer. 7. Mix until uniform. 8. While stirring, add the water containing premix to the main vessel and continue to mix until uniform. 9. Subsequently, add desired flavor component and mix until uniform."
Phenylpropanolamine Controlled-Release Capsule,"1. Add alcohol, propylene glycol, EDTA, sodium metabisulfite, and phenylpropanolamine to a clean vessel and begin mixing. 2. Subsequently, add pluraflo and glycerine to the vessel. 3. Mix until uniform. 4. This liquid may be filled into hard gelatin capsules that are then banded to prevent leakage, or it may be used as the fill for a soft elastic gelatin capsule. One capsule is made to contain 0.75 mL of the liquid and, taken three times daily, provides controlled release of the phenylpropanolamine active. After swallowing, the gelatin shell dissolves in the gastrointestinal tract and the liquid fill immediately transforms into a slow-dissolving gel that provides controlled release of the phenylpropanolamine."
Orciprenaline Sulfate and Clobutinol Hydrochloride Syrup,"1. In a suitable stainless steel mixing vessel, charge 250 mL of item 13 and heat to 70° to 75°C. Add item 1 and mix well; cool to room temperature. 2. In 10 mL of item 13 add and dissolve item 2 and 3 and add to step 2. 3. In 20 mL of item 13 add and dissolve item 4 and add to step above. 4. In a separate vessel add items 50 mL of item 13 and item 8 and mix well; add to step 4. 5. In 50 mL of item 13, add item 10, mix well, and add to step 5. 6. In 50 mL of item 13, add item 9, mix well, and add to step 6. 7. Adjust pH to 3.1 to 3.2 using item 5. 8. Filter through 100-micron filter and then through filter pads. 9. Make up volume and fill."
Oxymetazoline Hydrochloride Nasal Solution,"Oxymetazoline hydrochloride is toxic. There is a risk of serious intoxication if inhaled or swallowed. This product is a colorless, odorless membrane-filtered solution. Thus, make sure that the receiving tank for the filtered solution is cleaned and free of any contamination. 1. Heat 1.0 kg of item 7 up to 85° to 90°C in the manufacturing vessel. Hold the temperature at 85° to 90°C for 30 minutes. 2. Cool item 7 to 30°C and transfer into mobile tank. 3. Add 900.0 g of cold item 7 (from step 2) into manufacturing vessel. 4. Dissolve items 5, 6, 1, 2, 3, and 4 one by one while mixing in manufacturing vessel containing cold item 7. 5. After completion of addition mix for 20 more minutes. 6. Make up the volume to 1.0 L with cold item 7 and, finally, mix for 20 minutes. 7. Check and record the pH (limit 6.8 ± 0.1). 8. Filter the solution through Sartorius prefilter and membrane filter 0.2 mm into receiving tanks."
Oxymetazoline Nasal Solution,"1. Add the dibasic sodium phosphate, monobasic potassium phosphate, disodium EDTA, benzalkonium chloride, and oxymetazoline HCl to a clean vessel. 2. Add tyloxapol, chlorhexidine gluconate, and ethanol to the vessel. 3. Subsequently add the poloxamer and water to the vessel. 4. Mix until uniform."
Pheniramine Maleate Syrup,"1. Charge 700 mL item 8 in a suitable mixing vessel and heat to 90° to 95°C. 2. Add and mix item 2. 3. Add items 3 and 4 and mix to dissolve. 4. In separate vessels in about 100 mL item 8, add and dissolve items 5 to 7 and item 1 separately. 5. Add the two mixtures in step 3 to step 2 at room temperature. 6. Make up the volume."
